team,playoff_probability,final_probability,championship_probability,expected_finish
Royal Challengers Bengaluru,0.46952,0.2438,0.1202,5.01
Sunrisers Hyderabad,0.4498,0.22984,0.11488,5.14244
Delhi Capitals,0.44396,0.22644,0.11144,5.17176
Gujarat Titans,0.43856,0.21652,0.10724,5.2364
Kolkata Knight Riders,0.38972,0.19876,0.10176,5.5628
Mumbai Indians,0.38408,0.19224,0.0978,5.64072
Lucknow Super Giants,0.3484,0.17548,0.0896,5.86612
Rajasthan Royals,0.36344,0.17564,0.08664,5.74264
Punjab Kings,0.36452,0.17444,0.08628,5.73568
Chennai Super Kings,0.348,0.16684,0.08416,5.89144
