year,train_rows,test_rows,accuracy,balanced_accuracy,f1,log_loss,brier,ece,roc_auc
2014,393,59,0.576271186440678,0.5794930875576036,0.5901639344262295,0.6817825465607799,0.24431350020825177,0.06028220866470346,0.5921658986175116
2015,452,56,0.6071428571428571,0.6064516129032258,0.6333333333333333,0.6820318955251825,0.24423717528470193,0.07432539191603972,0.5948387096774195
2016,508,60,0.55,0.5491071428571428,0.5263157894736842,0.6930969286021418,0.2498114746014987,0.058053901890831525,0.5524553571428571
2017,568,58,0.6206896551724138,0.6165865384615384,0.65625,0.6916063214703152,0.24904385850223265,0.12638190206510783,0.5625
2018,626,60,0.5666666666666667,0.5558035714285714,0.4583333333333333,0.6720388535725288,0.23954354575929993,0.027821118107119295,0.6462053571428572
2019,686,57,0.5789473684210527,0.5474025974025974,0.42857142857142855,0.6623617575141844,0.23484030578126794,0.09725350744336485,0.6272727272727273
2020,743,56,0.5357142857142857,0.5287356321839081,0.4090909090909091,0.6953439295898628,0.25111290963072064,0.04293595169581825,0.5146871008939974
2021,799,59,0.6440677966101694,0.624078624078624,0.5333333333333333,0.6583727526028003,0.2327482308813886,0.112606577945232,0.6855036855036855
2022,858,74,0.43243243243243246,0.43243243243243246,0.2222222222222222,0.719696405904622,0.2628827914346819,0.13979735723546152,0.4806428049671293
2023,932,73,0.5616438356164384,0.5787878787878789,0.5,0.6993134098886208,0.25295652938129526,0.10831252414751451,0.5325757575757576
2024,1005,71,0.43661971830985913,0.43412698412698414,0.3103448275862069,0.7179821447698328,0.262289861599467,0.11245698573384372,0.38650793650793647
2025,1076,70,0.4857142857142857,0.47583947583947583,0.35714285714285715,0.7033042475747097,0.25503998791447824,0.05013965178531425,0.44717444717444715
2026,1146,72,0.5416666666666666,0.46296296296296297,0.1951219512195122,0.6868458695937325,0.2468615196982785,0.10265472689757116,0.45925925925925926
