country,venue,city
South Africa,Wanderers Stadium,Johannesburg
South Africa,Centurion,Tshwane
South Africa,Newlands Cricket Ground,Cape Town
South Africa,Kingsmead Cricket Ground,Durban
South Africa,St George's Park,Gqeberha
South Africa,Mangaung Oval,Bloemfontein
South Africa,Boland Park,Paarl
South Africa,Buffalo Park,KuGompo City
Zimbabwe,Harare Sports Club,Harare
Zimbabwe,Queens Sports Club,Bulawayo
Zimbabwe,Mosi-oa-Tunya International Cricket Stadium,Victoria Falls
Namibia,Namibia Cricket Ground,Windhoek
